PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Iccha-Vishakha(Icchapuram-Korlam) Highway Project,99,Renovation & Modernisation,1430.5,Completed,"Engineering, Procurement & Construction",Mar-06,Andhra Pradesh,01-Mar-01,01/01/02,1430.5,1360,70.5
Iccha-Vishakha(Srikakulam-Champawati) Highway Project,102,Substantial Expansion,1719.7,Completed,"Engineering, Procurement & Construction",May-07,Andhra Pradesh,01-Mar-01,01/01/02,1719.7,1920,-200.3
Icchapuram-Anandapuram (NH-5) Six Laning Highway Project,848,Substantial Expansion,17635,No Information,Public Private Partnership,,Andhra Pradesh,28-Jun-10,18/03/11,17635,17635,0
Icchapuram-Srikakulam-Vishakhapatnam-Ankapalli-Rajahmundary Six-Laning Highway Project,669,Substantial Expansion,35500,No Information,"Design, Build, Finance, Operate and Transfer (Toll) basis",,Andhra Pradesh,28-Oct-09,28/10/09,35500,35500,0
Icchapuram-Vishakhapatnam(Korlam-Palasa AP-4A) Highway Project,100,Substantial Expansion,1351.1,Completed,"Engineering, Procurement & Construction",Aug-05,Andhra Pradesh,01-Mar-01,01/01/02,1351.1,1210,141.1
Icchapuram-Vishakhapatnam(Palasa-Srikakulam) Highway Project,101,Substantial Expansion,3240,Completed,"Engineering, Procurement & Construction",Jun-05,Andhra Pradesh,01-Mar-01,01/01/02,3240,2960,280
Ichapuram-Sriharikota Elevated Expressway Project,1170,Substantial Expansion,153000,No Information,,,Andhra Pradesh,01-Dec-15,10/01/16,153000,153000,0
Improvement & Development to Multi Lane Carriageway (NH-211) from Nagarnaka Junction-Cambridge School Road (Aurangabad),1670,New Unit,827.2,Completed,"Engineering, Procurement & Construction",Sep-22,Maharashtra,13-Feb-19,31/12/19,827.2,748.6,78.6
Improvement of Autram Ghat section NH-4 (with tunnel) part of Aurangabad-Dhule section on NH-211 Project,1299,Substantial Expansion,7000,Announced,"Engineering, Procurement & Construction",,West Bengal,01-Jul-10,01/03/16,7000,7000,0
Improvement of Khambataki Ghat section (with tunnel) on Pune-Satara section (NH-48) Project,1298,Substantial Expansion,9260,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,06-Apr-11,06/07/22,9260,3500,5760
Improvement of T-Junction near Dhaula Kuan Metro Station Project (Bharatmala),1321,New Unit,2700,Completed,"Engineering, Procurement & Construction",Sep-19,NCT of Delhi,01-May-17,01/03/19,2700,1405.4,1294.6
Indapur-Tondale (NH-965G) Four Lane Road Project (Package-III of Sant Tukaram Maharaj Palkhi Marg),1899,Substantial Expansion,16010,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,10-Jan-19,08/11/21,16010,8750,7260
Indora Square-Pachpaoli Square Flyover Project,1274,New Unit,2430,No Information,,,Maharashtra,23-Mar-17,23/03/17,2430,2430,0
Indore Outer Ring Road Project,887,New Unit,9600,No Information,Public Private Partnership,,Madhya Pradesh,28-Feb-12,28/02/12,9600,9600,0
Indore-Khalghat (NH-3) Highway Project,656,New Unit,6639,Completed,Build Operate Transfer,Sep-09,Madhya Pradesh,23-Jun-05,30/09/09,6639,4720,1919
Indore-Raghav Garh (NH-59) Four Lane Highway Project (Package-I of Indore-Harda Economic Corridor),1951,Substantial Expansion,5079.9,Under Implementation,"Engineering, Procurement & Construction",,Madhya Pradesh,01-Jan-18,17/01/22,5079.9,5079.9,0
Indroda Circle Flyover Project,792,New Unit,400,No Information,,,Gujarat,19-Jun-10,19/06/10,400,400,0
Islam Nagar to Kadtal (NS-2/BOT/AP-7) Highway Project,503,Substantial Expansion,6678,Completed,,Jul-10,Telangana,31-Dec-03,08/07/10,6678,5468.3,1209.7
Islampur Four Lane Bypass (NH-31) Project,1052,Substantial Expansion,3050,Completed,"Engineering, Procurement & Construction",Mar-21,West Bengal,15-Dec-04,31/01/18,3050,2384.7,665.3
Ismailabad on NH-152 to Junction with Karnal-Pehowa Road Four/Six Lane Access Controlled Highway Project (Package 1 of Ismailabad-Narnaul NH-152D) (Bharatmala),1533,New Unit,9966.5,Completed,"Engineering, Procurement & Construction",Mar-22,Haryana,01-Jan-18,31/10/19,9966.5,5989.7,3976.8
Ismailabad to Ambala (NH152) Four Lane Access Controlled Highway Project (Part of Ambala-Kotputli Corridor),2118,Substantial Expansion,4466.2,Under Implementation,"Engineering, Procurement & Construction",,Haryana,01-Sep-22,05/01/23,4466.2,4466.2,0
Itanagar-Banderdewa (NH-415) Four Laning Highway Project,1217,Substantial Expansion,3418.3,Under Implementation,"Engineering, Procurement & Construction",,Arunachal Pradesh,01-Dec-03,17/11/16,3418.3,3600,-181.7
Jabalpur-Katni-Rewa (NH-7) Four Laning Highway Project,1019,Substantial Expansion,31015.5,Completed,"Engineering, Procurement & Construction",May-20,Madhya Pradesh,01-Dec-09,22/05/20,31015.5,19068.3,11947.2
Jabalpur-Lakhnadon Four Lane Highway (NH-30 and NH-34) Project,859,Substantial Expansion,12444.3,Completed,"Engineering, Procurement & Construction",Aug-20,Madhya Pradesh,01-Jan-05,25/08/20,12444.3,9197.6,3246.7
Jaigaon-Changrabandha (AH-48) Road Project,989,New Unit,9714,No Information,"Engineering, Procurement & Construction",,West Bengal,01-Jul-13,27/02/15,9714,8320,1394
Jaigarh Port-Nivali (NH-17) Four Lane Road Project,1176,Substantial Expansion,2350,Announced,"Engineering, Procurement & Construction",,Maharashtra,03-Apr-12,31/01/19,2350,3330,-980
Jaipur Bypass Phase 1 Project,24,New Unit,750,Completed,"Engineering, Procurement & Construction",Jan-01,Rajasthan,01-Mar-98,01/03/98,750,750,0
Jaipur Bypass Phase 1 Renovation Project,374,Renovation & Modernisation,56.8,No Information,,,Rajasthan,01-Mar-04,01/03/04,56.8,56.8,0
Jaipur Bypass Phase 2 Project,74,Substantial Expansion,2730,Completed,"Engineering, Procurement & Construction",Mar-05,Rajasthan,30-Oct-00,30/10/00,2730,2730,0
Jaipur Ring Road (South) Project (Bharatmala),1322,New Unit,16000,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,31-Dec-00,27/11/18,16000,8500,7500
Jaipur Six Lane Ring Road (North) Project (Phase III) (Bharatmala),1655,New Unit,28870,Under Implementation,Hybrid Annuity,,Rajasthan,31-Dec-00,04/11/21,28870,30000,-1130
Jaipur-Kishangarh (NH-8) Eight Lane Highway Project,1453,Substantial Expansion,7440,No Information,,,Rajasthan,01-Jan-18,11/01/18,7440,7440,0
Jaisalmer (NH-11)-Bhadasar-Ramgarh-Tanot and Bhadasar-Sarkaritala-upto Pakistan Border Two/Four Laning Highway Project (BM/5),1097,Substantial Expansion,9536.2,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,05-Apr-15,23/02/18,9536.2,10250,-713.8
Jaisalmer (NH-11)-Kanod-Ghantiali-Nachna-Chinnu-Naukh and Jaisalmer-Myajilar Two/Four Laning Highway Project (BM/7),1099,Substantial Expansion,13200,Under Implementation,,,Rajasthan,05-Apr-15,20/11/15,13200,13200,0
Jaisalmer-Barmer (NH-15) Two/Four Laning Highway Project,999,New Unit,4822.7,Completed,"Engineering, Procurement & Construction",Sep-18,Rajasthan,01-Feb-14,30/04/14,4822.7,3712.2,1110.5
Jakhal Railway Over Bridge Project,914,New Unit,260,Completed,,Apr-17,Haryana,01-Apr-12,01/04/12,260,260,0
Jalandhar Bypass(NS/1) Project,225,New Unit,890,Completed,"Engineering, Procurement & Construction",Jun-04,Punjab,01-May-99,01/04/04,890,634.6,255.4
Jalandhar-Ambala Highway Project,3,Substantial Expansion,7500,Completed,"Engineering, Procurement & Construction",May-01,Haryana,15-Nov-85,01/09/96,7500,7500,0
Jalandhar-Amritsar (NH-1) Six Lane Highway Project (Bidhipur-Dhilwan),939,Substantial Expansion,3440,Completed,"Engineering, Procurement & Construction",Jul-18,Punjab,27-Aug-12,31/10/17,3440,4928.8,-1488.8
Jalandhar-Moga-Bhatinda-Kishangarh-Ajmer Six Lane Expressway Project,1260,Substantial Expansion,260000,No Information,,,Rajasthan,01-Feb-17,28/06/20,260000,100000,160000
Jalbehra-near Ismailabad-Patti Kankra near Shahbad Four/Six Lane Highway Project,2043,Substantial Expansion,8710,Under Implementation,Hybrid Annuity,,Haryana,01-Oct-21,07/12/21,8710,8710,0
Jam-Wadner (NS-59/MH) Highway project,744,New Unit,1450,Completed,,Oct-11,Maharashtra,31-Dec-03,31/12/03,1450,1450,0
Jammu Four lane Ring Road Project,923,Substantial Expansion,20238.7,Under Implementation,"Engineering, Procurement & Construction",Dec-23,Jammu & Kashmir,01-Sep-12,07/02/20,20238.7,13550,6688.7
Jammu-Kunjwani (incl. Jammu Bypass) Highway Project,304,New Unit,853.4,Completed,,Aug-12,Jammu & Kashmir,01-Dec-03,01/01/09,853.4,853.4,0
Jammu-Pathankot(NS-15/JK) Expressway Project,180,Renovation & Modernisation,1100,No Information,,,Jammu & Kashmir,01-Sep-01,01/09/01,1100,1100,0
Jamujhadi-Basudevpur-Dhamara (NH-316A) Four Lane Highway Project,1503,Substantial Expansion,11480,Under Implementation,"Engineering, Procurement & Construction",,Odisha,01-Aug-11,02/01/23,11480,6000,5480
Jatinga-Bara Narayanpur (Harangajo) (NH-54) (New NH-27) Four Lane Highway Project,1268,New Unit,16896.6,Under Implementation,Hybrid Annuity,Mar-25,Assam,01-Mar-17,25/11/21,16896.6,16896.6,0
Jawaharlal Nehru Port Road Project(Phase 2),582,New Unit,1430,Completed,,Oct-09,Maharashtra,30-Nov-04,01/07/09,1430,1430,0
Jetpur-Somnath (NH-151) Four-Laning Highway Project,1401,New Unit,8280,Under Implementation,"Engineering, Procurement & Construction",,Gujarat,30-Apr-09,11/06/10,8280,8130,150
Jhajjar-Loharu (NH-334B) Two Lane Highway Project,1479,New Unit,1362.5,Completed,"Engineering, Procurement & Construction",Oct-21,Haryana,22-Jan-18,30/10/21,1362.5,1817.8,-455.3
Jhalawar-MP/Rajasthan Border Section Two Laning Road Project,849,New Unit,1818.9,Completed,Design Build Finance Operate Transfer,Sep-15,Rajasthan,28-Feb-11,10/09/12,1818.9,1773.2,45.7
Jhanjhapur-Darbanga (BR-7) Highway Project,715,Substantial Expansion,5800,Completed,,Dec-12,Bihar,31-Dec-03,31/10/12,5800,3999.5,1800.5
Jhanki Village-Sargi Village (NH-130CD) Six Lane Highway Project (Package CG-1) (Section of Raipur-Visakhapatnam Economic Corridor),1809,New Unit,40662.5,Under Implementation,Hybrid Annuity,,Chhattisgarh,01-Jul-19,06/01/20,40662.5,40662.5,0
Jhansi Bypass (NH-25) Highway Project,551,New Unit,1635,Completed,,Dec-10,Uttar Pradesh,31-Dec-03,31/12/10,1635,1150,485
Jhansi-Lakhnadaon (NH 26) Road Project,426,New Unit,1638.7,No Information,,,Uttar Pradesh,01-Dec-05,01/12/05,1638.7,1638.7,0
Jhansi-RJ/MP Border Highway Project,297,New Unit,3550.6,No Information,,,Uttar Pradesh,01-Dec-03,01/01/08,3550.6,3550.6,0
Jhansi-Shivpuri (NH-25) Highway Project,549,New Unit,3627.1,Completed,,May-09,Uttar Pradesh,31-Dec-03,01/01/09,3627.1,3627.1,0
Jharpokharia-Baripada-Baleshwar (NH-5) Four Laning Highway Project,964,Substantial Expansion,10696.5,Completed,"Engineering, Procurement & Construction",Jan-22,Odisha,01-Dec-10,22/02/16,10696.5,8355.9,2340.6
Jind-Gohana (NH-352A) Four Lane Highway Project (Package 1),1481,Substantial Expansion,1325.5,Completed,Hybrid Annuity,Apr-22,Haryana,05-Jun-06,04/04/22,1325.5,54.2,1271.3
Jind-Karnal (NH-709A) Two Lane Highway Project,1847,Substantial Expansion,2000,Completed,,Jul-20,Haryana,01-Apr-16,13/12/19,2000,2000,0
Jind-Mundhal-Bhiwani (NH-709A) Two Lane Highway Project,1480,Substantial Expansion,1830,Completed,"Engineering, Procurement & Construction",Nov-21,Haryana,01-Dec-01,25/03/21,1830,96.5,1733.5
Jittandahalli-Dharmapuri section (NH-844) Four Lane Highway Project (Package 3 of Hosur-Dharmapuri) (Bharatmala),1690,Substantial Expansion,9808.2,Under Implementation,Hybrid Annuity,Aug-23,Tamil Nadu,11-Jul-18,21/07/22,9808.2,6246.9,3561.3
Jn with NH20 in Bongabar Village to Jn with NH320 in Lepo Village Six Lane Greenfield Access Control Expressway Project (Package-12 of Varanasi-Kolkata Expressway),2121,Substantial Expansion,30480,Under Implementation,"Engineering, Procurement & Construction",,Jharkhand,01-Aug-21,18/05/23,30480,30480,0
Jodhpur Ring Road Project (Phase 1),2042,New Unit,13000,Under Implementation,Hybrid Annuity,,Rajasthan,30-Jan-10,19/12/17,13000,4000,9000
Jodhpur Romana (Bathinda)-Mandi Dabwali Highway (Punjab/Haryana border) (NH-54) Six Lane Highway Project,1839,Substantial Expansion,7571.3,Under Implementation,,,Punjab,15-Jan-20,19/08/20,7571.3,7571.3,0
Jodhpur-Barmer (NH-112) Two/Four Lane Highway Project (Bagundi-Barmer Pkg-II),1000,New Unit,2061.2,Completed,"Engineering, Procurement & Construction",Feb-17,Rajasthan,01-Feb-14,31/05/16,2061.2,2061.2,0
Jodhpur-Barmer (NH-112) Two/Four Lane Highway Project (Jodhpur-Pachpadra Pkg-I),979,Substantial Expansion,2124,Completed,"Engineering, Procurement & Construction",Aug-17,Rajasthan,01-Jan-14,27/03/14,2124,2647.2,-523.2
Jodhpur-Pokaran (NH-114) Two Lane Highway Project,985,New Unit,4556,Completed,"Engineering, Procurement & Construction",Aug-17,Rajasthan,15-Jan-14,31/12/14,4556,5126,-570
Jodmi village to Bani village of Mandsaur Eight Lane Carriageway Project (Package 18 of Delhi-Mumbai Expressway),1571,Substantial Expansion,10940,Completed,"Engineering, Procurement & Construction",Dec-22,Madhya Pradesh,31-Mar-98,17/03/22,10940,9737.8,1202.2
Jowai-Meghalaya/Assam Border (Ratacherra) (NH-6) Two Lane Highway Project,950,Substantial Expansion,6830,Completed,"Engineering, Procurement & Construction",Sep-18,Meghalaya,27-Apr-10,21/09/18,6830,4421,2409
Jujuwa to Gandeva Package-8 of Vadodara-Kim (Phase-1-Part-A) (NH-8) Expressway Project (Delhi-Mumbai Expressway),1628,Substantial Expansion,36330,Under Implementation,Hybrid Annuity,,Gujarat,31-Mar-98,11/04/23,36330,15123.2,21206.8
Junction at SH44 to Junction with Keshopura Road Eight Lane Carriageway Project (Package 5 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1542,Substantial Expansion,13811.2,Completed,"Engineering, Procurement & Construction",Sep-22,Rajasthan,31-Mar-98,31/03/19,13811.2,11506.7,2304.5
Junction with Amritsar-Bathinda Greenfield Road (NH-754A) near Rampura Phul to Junction with Moga-Barnala Road near Tallewal Six Lane Highway Project (Package 1 of Ludhiana-Bhatinda Expressway),1997,Substantial Expansion,9065.1,Under Implementation,Hybrid Annuity,Mar-24,Punjab,01-Nov-20,22/02/23,9065.1,6390.7,2674.4
Junction with Jind-Safidon Road (SH-14) near Kheri village to Junction with NH-352 (Jind-Gohana section) near Julana Six Lane Access Controlled Highway Project (Package 4 of Ismailabad-Narnaul),1623,New Unit,10187.9,Completed,"Engineering, Procurement & Construction",Jul-22,Haryana,01-Jan-18,26/08/19,10187.9,6510.7,3677.2
Junction with Kaithal-Safidon Road (SH-11) near Rajound to Junction with Jind-Safidon Road near Kheri village Four/Six Lane Access Control Highway Project (Pkg 3 Ismailabad-Narnaul) (Bharatmala),1622,New Unit,8893.6,Completed,"Engineering, Procurement & Construction",Jul-22,Haryana,01-Jan-18,31/12/19,8893.6,5091.6,3802
Junction with Karnal-Pehowa Road (SH-9) near Dhand village to Junction with Kaithal-Safidon (SH-11) Road near Rajound Four/Six Lane Access Control Highway Project (Package 2 Ismailabad-Narnaul),1617,New Unit,12434.5,Completed,"Engineering, Procurement & Construction",Jul-22,Haryana,01-Jan-18,25/10/19,12434.5,7249.7,5184.8
Junction with Keshopura Road to Junction with NH-11 Road Eight Lane Carriageway Project (Package 6 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1543,Substantial Expansion,11254.9,Completed,"Engineering, Procurement & Construction",Oct-22,Rajasthan,31-Mar-98,09/03/19,11254.9,10530.6,724.3
Junction with Moga-Barnala Road near Tallewal to Delhi-Katra Expressway (NE-5) at Ballowal (Ludhiana) Six Lane Highway Project (Package 2 of Ludhiana-Bhatinda Expressway),1998,Substantial Expansion,15551.3,Under Implementation,Hybrid Annuity,Mar-24,Punjab,01-Nov-20,22/02/23,15551.3,9572.3,5979
Junction with NH-11 to Start of RoB near junction with NH-11A Eight Lane Carriageway Project (Package 7 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1560,Substantial Expansion,11512.2,Completed,"Engineering, Procurement & Construction",Feb-23,Rajasthan,31-Mar-98,28/09/18,11512.2,11512.2,0
Junction with NH-119 in Malpura Village to Lerua Village including Four Lane Spur to NH-19 Four/Six Lane Access Controlled Greenfield Highway Project (Package-5 of Varanasi-Kolkata Expressway),1977,New Unit,25000,Announced,Hybrid Annuity,,Bihar,01-Aug-21,25/11/21,25000,25000,0
Junction with NH-12 near village Ummedpura to Major bridge over Takli river near Nayagaon Jageer village Eight Lane Carriageway Project (Package 15) (Delhi-Mumbai Expressway),1568,Substantial Expansion,10000.8,Under Implementation,"Engineering, Procurement & Construction",Jan-24,Rajasthan,31-Mar-98,22/12/20,10000.8,9098.4,902.4
Junction with NH-334B (Charkhi Dadri-Jhajjar section) to Junction with Rewari-Kanina Road (SH-24) Four/Six Lane Access Controlled Highway Project (Package 7 of Ismailabad-Narnaul NH-152D) (Bharatmala),1618,New Unit,11374.2,Completed,"Engineering, Procurement & Construction",Jul-22,Haryana,01-Jan-18,31/12/19,11374.2,7325.7,4048.5
Junction with NH-352 (Jind-Gohana) near Julana to Junction with NH-9 (Rohtak-Jind) near Kharkara Four/Six Lane Access Controlled Highway Project (Package 5 of Ismailabad-Narnaul) (Bharatmala),1620,New Unit,10519.1,Completed,"Engineering, Procurement & Construction",Jul-22,Haryana,01-Jan-18,31/12/19,10519.1,6214.1,4305
Junction with NH-65 near Patas-Vasunde Phata-Baramati (NH965G) & Baramati Bypass Four Lane Highway Project (Package-I of Sant Tukaram Maharaj Palkhi Marg),1896,Substantial Expansion,13430,Under Implementation,,,Maharashtra,01-Nov-20,08/11/21,13430,7026,6404
Junction with NH-76 to Junction with NH-12 (near Ummedpura village) Eight Lane Carriageway Project (Package 14 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1566,Substantial Expansion,7038.8,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,31-Mar-98,28/09/18,7038.8,7038.8,0
Junction with NH-9 (Rohtak-Jind section) near Kharkara to Junction with NH-334B (Charkhi Dadri Jhajjar section) Four/Six Lane Access Controlled Highway Project (Pkg 6 of Ismailabad-Narnaul NH-152D),1621,New Unit,11200.6,Completed,"Engineering, Procurement & Construction",Jul-22,Haryana,01-Jan-18,31/12/19,11200.6,6538.5,4662.1
Junction with SH-37A to Junction with NH- 76 Eight Lane Carriageway Project (Package 13 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1565,Substantial Expansion,9409.5,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,31-Mar-98,28/09/18,9409.5,9409.5,0
K K Wagh College-Jatra Hotel Junction Flyover Project,1201,New Unit,3118,Completed,,Oct-21,Maharashtra,01-Feb-16,29/10/18,3118,2120,998
KGP Expressway to Aligarh-Palwal Highway Six Lane New Link Road Project,1506,New Unit,650,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,28-Apr-17,27/06/21,650,650,0
KMP Expressway to Khanpur Ghati Eight Lane Carriageway Project (Package 2 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1544,Substantial Expansion,20803.9,Completed,"Engineering, Procurement & Construction",Feb-23,Haryana,31-Mar-98,25/03/21,20803.9,11956.4,8847.5
KN/TS Border near Nandinne village-Kurnool Six Lane Greenfield Highway Project,1889,New Unit,19538.6,Under Implementation,Hybrid Annuity,,Andhra Pradesh,01-Jun-20,08/01/21,19538.6,19538.6,0
KPT Junction Vehicular Overpass (NH-66) Project,1965,New Unit,220,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,01-Jul-21,20/03/23,220,346,-126
